removed_study,LRT,p,coef,metric,test
155,16.71235703154241,4.34967580341953e-5,-0.018157036606682917,RR,initial SOC linear
158,18.132357446783658,2.0606977763568457e-5,-0.019244384515460483,RR,initial SOC linear
159,16.29720479826051,5.414376043661531e-5,-0.017991455019351177,RR,initial SOC linear
160,16.045948376661386,6.182377353604808e-5,-0.018123931036138925,RR,initial SOC linear
161,17.78245414491812,2.47656598967102e-5,-0.018746489301454634,RR,initial SOC linear
162,16.584892439982013,4.6520123432157346e-5,-0.018427426007357254,RR,initial SOC linear
163,17.749656339824128,2.5196300449550985e-5,-0.01877544796517482,RR,initial SOC linear
164,15.748768609380932,7.23350082384676e-5,-0.017799678027465873,RR,initial SOC linear
165,16.932235750459768,3.873812312675511e-5,-0.018301937797961337,RR,initial SOC linear
166,17.40397557978622,3.0219324564010735e-5,-0.018724675279009843,RR,initial SOC linear
170,17.543282243145768,2.8084123419342276e-5,-0.018725302605609378,RR,initial SOC linear
171,17.584966783068012,2.747517644183533e-5,-0.018721018513912488,RR,initial SOC linear
47,20.64321561868701,5.533290988318107e-6,-0.02140808421950739,RR,initial SOC linear
5,11.642201919064632,0.008714946595702825,NA,RR,temperature spline
7,12.418769683454457,0.006078024410273298,NA,RR,temperature spline
9,12.284282258194708,0.006470145591449124,NA,RR,temperature spline
10,11.422103160495226,0.009649248475593243,NA,RR,temperature spline
14,12.067755857713337,0.0071546250971736645,NA,RR,temperature spline
16,11.50196596884382,0.00929933560396349,NA,RR,temperature spline
17,11.449541216591115,0.009527589921559972,NA,RR,temperature spline
19,11.067871606136123,0.011364472711593441,NA,RR,temperature spline
20,11.229311889694259,0.010548375590183503,NA,RR,temperature spline
29,11.47188998413742,0.009429616429455294,NA,RR,temperature spline
31,10.763464592077867,0.013076148407232403,NA,RR,temperature spline
33,11.262904971292528,0.010385968949320225,NA,RR,temperature spline
51,10.606049804177815,0.01405848994313217,NA,RR,temperature spline
52,12.019040229228153,0.007318220508559385,NA,RR,temperature spline
54,10.886507622901831,0.012355671371031166,NA,RR,temperature spline
58,11.493681973652542,0.009335041277797378,NA,RR,temperature spline
65,11.99470753229491,0.007401312269953776,NA,RR,temperature spline
74,11.757300075329113,0.00826252081960794,NA,RR,temperature spline
78,11.432988665401012,0.009600800514647647,NA,RR,temperature spline
81,11.326119783506556,0.010087014380376288,NA,RR,temperature spline
90,11.70538814114866,0.008463630132263419,NA,RR,temperature spline
91,9.01813922098745,0.029050685320267597,NA,RR,temperature spline
99,10.88330404328201,0.012373924221413734,NA,RR,temperature spline
102,11.416056585790557,0.009676264005499034,NA,RR,temperature spline
108,11.025891483924852,0.011586691219996906,NA,RR,temperature spline
113,11.534883023016619,0.009158783457541992,NA,RR,temperature spline
114,14.65491784586493,0.002136603028011342,NA,RR,temperature spline
115,11.835658797039287,0.007967859234164534,NA,RR,temperature spline
116,11.67854094486097,0.008569525651939537,NA,RR,temperature spline
121,11.140545035113178,0.010989671734928338,NA,RR,temperature spline
124,11.5385996838545,0.009143046054328623,NA,RR,temperature spline
129,11.51710098557703,0.009234448373080502,NA,RR,temperature spline
137,11.424125680923908,0.009640228663672016,NA,RR,temperature spline
139,11.906246298007545,0.007711319496182036,NA,RR,temperature spline
148,10.588106844184836,0.01417497549863847,NA,RR,temperature spline
150,12.226123621791771,0.006647365999346976,NA,RR,temperature spline
151,11.495404592479417,0.009327605322568277,NA,RR,temperature spline
153,8.062769891536618,0.044732098438063105,NA,RR,temperature spline
154,11.297611889697464,0.010220767790171824,NA,RR,temperature spline
155,11.41229096441657,0.009693126144526611,NA,RR,temperature spline
158,11.474470325728817,0.009418368831502013,NA,RR,temperature spline
159,9.226378541561076,0.02642766626812796,NA,RR,temperature spline
160,11.916603882609593,0.007674369217063818,NA,RR,temperature spline
161,11.513428998132213,0.009250149840768794,NA,RR,temperature spline
162,11.255726324649913,0.010420465804173641,NA,RR,temperature spline
163,11.315008113468252,0.010138941551231354,NA,RR,temperature spline
164,10.758199691737673,0.013107883388048358,NA,RR,temperature spline
165,12.265755092755512,0.00652608849169128,NA,RR,temperature spline
166,11.6014610925738,0.008880880336119766,NA,RR,temperature spline
170,11.569602574370037,0.009012806555657206,NA,RR,temperature spline
171,11.489580209199744,0.00935277074552439,NA,RR,temperature spline
47,11.263941062695267,0.010380999341636329,NA,RR,temperature spline
5,8.545065668728967,0.003464601017283378,0.017377054672562838,RR,temperature linear
7,9.297268835246086,0.0022949573954976618,0.018040317539593766,RR,temperature linear
9,8.798910017374851,0.003014105665775018,0.01734861424121912,RR,temperature linear
10,9.342054031655152,0.0022395437083329514,0.017266678265533346,RR,temperature linear
14,9.520199459194828,0.0020322249264459764,0.018469003700896183,RR,temperature linear
16,9.103456838895113,0.0025512686725764296,0.017828628010375745,RR,temperature linear
17,8.795215447052328,0.0030202157519589423,0.017906719380330033,RR,temperature linear
19,8.341379460678127,0.0038752162999878092,0.01749286006680512,RR,temperature linear
20,8.554575749325977,0.003446548145252772,0.017556352080496634,RR,temperature linear
29,8.783409633980114,0.003039824702217179,0.017659237970133405,RR,temperature linear
31,7.804305526038661,0.005212189372445044,0.017170426717092166,RR,temperature linear
33,8.596432251644273,0.0033682220931529083,0.017533881170036396,RR,temperature linear
51,7.102063944686165,0.007699524075513366,0.014148893329225946,RR,temperature linear
52,9.049531881715552,0.002627620885454815,0.018168530980120695,RR,temperature linear
54,8.089775904824819,0.004451566620773952,0.01803102142220964,RR,temperature linear
58,9.098066964408986,0.0025587978003795676,0.017861317825759896,RR,temperature linear
65,9.354528980021087,0.002224351256431804,0.018177031525015687,RR,temperature linear
74,8.738734308795074,0.0031152067621468106,0.01749921360937234,RR,temperature linear
78,8.623026475040206,0.003319398726412091,0.017523563308333476,RR,temperature linear
81,8.974076772325816,0.0027383691222395666,0.01767262982934176,RR,temperature linear
